Var,Table,Null Percentage
Person.ID,PERSON,0.0
Person.Last_Name,PERSON,0.0
Person.First_Name,PERSON,0.096
Student_Programs_View.Stpr_Acad_Program,STUDENT_PROGRAMS_VIEW,0.0
Acad_Programs.Acpg_Title,ACAD_PROGRAMS,0.0
Student_Programs_View.Stpr_Ant_Cmpl_Date,STUDENT_PROGRAMS_VIEW,0.079
Student_Programs_View.Stpr_Student,STUDENT_PROGRAMS_VIEW,0.0
Acad_Programs.Acad_Programs_ID,ACAD_PROGRAMS,0.0
Z01_All_Race_Ethnic_W_Flags.Is_Fper_Alien,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.0
Z01_All_Race_Ethnic_W_Flags.Is_Ethnic_Alien,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.0
Z01_All_Race_Ethnic_W_Flags.Is_Races_Alien,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.0
Z01_All_Race_Ethnic_W_Flags.Is_Hispanic,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.0
Z01_All_Race_Ethnic_W_Flags.Race_Count,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.0
Z01_All_Race_Ethnic_W_Flags.Race_Max,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.912
Z01_All_Race_Ethnic_W_Flags.Person_Ethnic_1,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.917
Z01_All_Race_Ethnic_W_Flags.Person_Ethnic_Desc_1,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.917
Z01_All_Race_Ethnic_W_Flags.Person_Ethnic_2,Z01_ALL_RACE_ETHNIC_W_FLAGS,1.0
Z01_All_Race_Ethnic_W_Flags.Person_Ethnic_Desc_2,Z01_ALL_RACE_ETHNIC_W_FLAGS,1.0
Z01_All_Race_Ethnic_W_Flags.Person_Race_2,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.995
Z01_All_Race_Ethnic_W_Flags.Person_Race_Desc_2,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.995
Z01_All_Race_Ethnic_W_Flags.Person_Race_1,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.912
Z01_All_Race_Ethnic_W_Flags.Person_Race_Desc_1,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.912
Z01_All_Race_Ethnic_W_Flags.Person_Race_3,Z01_ALL_RACE_ETHNIC_W_FLAGS,1.0
Z01_All_Race_Ethnic_W_Flags.Person_Race_Desc_3,Z01_ALL_RACE_ETHNIC_W_FLAGS,1.0
Z01_All_Race_Ethnic_W_Flags.Person_Race_4,Z01_ALL_RACE_ETHNIC_W_FLAGS,1.0
Z01_All_Race_Ethnic_W_Flags.Person_Race_Desc_4,Z01_ALL_RACE_ETHNIC_W_FLAGS,1.0
Z01_All_Race_Ethnic_W_Flags.Person_Race_5,Z01_ALL_RACE_ETHNIC_W_FLAGS,1.0
Z01_All_Race_Ethnic_W_Flags.Person_Race_Desc_5,Z01_ALL_RACE_ETHNIC_W_FLAGS,1.0
Z01_All_Race_Ethnic_W_Flags.Ipeds_Race_Ethnic_Desc,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.0
Z01_All_Race_Ethnic_W_Flags.ID,Z01_ALL_RACE_ETHNIC_W_FLAGS,0.0
