Var,Table,Null Percentage
STUDENT_ACAD_PROGRAMS_VIEW.STUDENT_ID,STUDENT_ACAD_PROGRAMS_VIEW,0.0
STUDENT_ACAD_PROGRAMS_VIEW.STUDENT_LAST_NAME,STUDENT_ACAD_PROGRAMS_VIEW,0.0
STUDENT_ACAD_PROGRAMS_VIEW.STUDENT_FIRST_NAME,STUDENT_ACAD_PROGRAMS_VIEW,0.0
STUDENT_ACAD_PROGRAMS_VIEW.STP_PROGRAM_TITLE,STUDENT_ACAD_PROGRAMS_VIEW,0.003
PERSON_ADDRESSES_VIEW.STATE,PERSON_ADDRESSES_VIEW,0.02
ADDRESS.ADDRESS_ADD_DATE,ADDRESS,0.0
PERSON_ADDRESSES_VIEW.ID,PERSON_ADDRESSES_VIEW,0.0
PERSON_ADDRESSES_VIEW.ADDRESS_ID,PERSON_ADDRESSES_VIEW,0.0
STUDENT_ACAD_PROGRAMS_VIEW.STP_START_DATE,STUDENT_ACAD_PROGRAMS_VIEW,0.889
STUDENT_ACAD_PROGRAMS_VIEW.STP_END_DATE,STUDENT_ACAD_PROGRAMS_VIEW,0.893
PERSON_ADDRESSES_VIEW.ADDRESS_TYPE,PERSON_ADDRESSES_VIEW,0.0
