Var,Table,Null Percentage
TERMS.TERMS_ID,TERMS,0.0
TERMS.TERM_START_DATE,TERMS,0.0
STUDENT_ACAD_PROGRAMS_VIEW.STUDENT_ID,STUDENT_ACAD_PROGRAMS_VIEW,0.0
STUDENT_ENROLLMENT_VIEW.SECTION_COURSE_TITLE,STUDENT_ENROLLMENT_VIEW,0.0
STUDENT_ENROLLMENT_VIEW.SECTION_COURSE_NAME,STUDENT_ENROLLMENT_VIEW,0.0
STUDENT_ENROLLMENT_VIEW.ENROLL_CREDITS,STUDENT_ENROLLMENT_VIEW,0.0
TERMS.TERM_END_DATE,TERMS,0.0
STUDENT_ACAD_PROGRAMS_VIEW.STP_CURRENT_STATUS,STUDENT_ACAD_PROGRAMS_VIEW,0.009
STUDENT_ACAD_PROGRAMS_VIEW.STP_START_DATE,STUDENT_ACAD_PROGRAMS_VIEW,0.889
STUDENT_ACAD_PROGRAMS_VIEW.STP_END_DATE,STUDENT_ACAD_PROGRAMS_VIEW,0.893
MAJORS.MAJORS_ID,MAJORS,0.0
MAJORS.MAJ_DESC,MAJORS,0.0
STUDENT_ENROLLMENT_VIEW.ENROLL_CURRENT_STATUS,STUDENT_ENROLLMENT_VIEW,0.0
