Institution Name,2021
Boise State University,3203
Carroll College,280
Gonzaga University,1311
Grand Canyon University,7599
Montana State University,3866
Montana Technological University,325
Rocky Mountain College,220
The University of Montana,1542
University of Idaho,1656
University of Washington-Seattle Campus,7252
Washington State University,4007
