Institution Name,2017,2018,2019,2020,2021
Rocky,67,67,70,64,60
GCU,66,64,65,74,71
UM,69,68,71,74,75
Idaho,82,81,77,77,75
BSU,80,79,79,78,76
MSU,76,77,77,78,76
Tech,74,73,79,80,76
Carroll,84,81,80,84,80
WSU,81,79,79,81,81
Gonzaga,94,94,94,92,92
UW,94,94,95,93,93
