Institution Name,2016-17,2017-18,2018-19,2019-20,2020-21
BSU,13363,12558,13237,14190,15828
Carroll,26636,26586,25187,24037,24285
Gonzaga,34085,35612,36578,36880,35529
GCU,20912,21403,21332,20818,21644
MSU,15411,15801,16746,17656,17821
Tech,12104,13514,13547,14618,15332
Rocky,20276,18330,18999,20615,19726
UM,13682,14186,14731,15220,15228
Idaho,14997,15061,15017,14929,15435
UW,9443,10345,10692,9661,8701
WSU,17885,17297,18002,18235,11877
