Institution Name,2017,2018,2019,2020,2021
BSU,43,46,50,54,53
Carroll,72,69,63,67,67
Gonzaga,87,86,85,88,85
GCU,41,37,41,47,45
MSU,54,57,56,59,54
Tech,42,51,52,56,57
Rocky,52,49,49,52,52
UM,50,50,49,48,49
Idaho,55,59,56,59,59
UW,84,84,84,82,84
WSU,62,59,60,59,60
