Institution Name,2017,2018,2019,2020,2021
BSU,19,21,26,29,31
Carroll,49,50,49,49,53
Gonzaga,78,73,75,77,75
GCU,35,30,35,39,37
MSU,24,25,27,30,31
Tech,18,18,24,30,36
Rocky,40,32,31,35,41
UM,29,27,30,30,33
Idaho,30,34,35,37,38
UW,65,67,66,67,71
WSU,38,35,37,37,37
