School,Alias
Grand Canyon University,GCU
Boise State University,BSU
University of Idaho,UI
Carroll College,Carroll
Montana Technological University,Tech
Montana State University,MSU
The University of Montana,UM
Rocky Mountain College,Rocky
Gonzaga University,Gonzaga
Washington State University,WSU
University of Washington-Seattle Campus,UW
