,STD Threshold,Neighborhood Size
0,0.0,0
1,0.002004008016032064,0
2,0.004008016032064128,0
3,0.0060120240480961915,0
4,0.008016032064128256,0
5,0.01002004008016032,0
6,0.012024048096192383,0
7,0.014028056112224447,5
8,0.01603206412825651,8
9,0.018036072144288574,20
10,0.02004008016032064,22
11,0.022044088176352703,29
12,0.024048096192384766,39
13,0.026052104208416832,51
14,0.028056112224448895,58
15,0.03006012024048096,64
16,0.03206412825651302,71
17,0.03406813627254509,75
18,0.03607214428857715,86
19,0.038076152304609215,94
20,0.04008016032064128,107
21,0.04208416833667334,114
22,0.044088176352705406,123
23,0.04609218436873747,136
24,0.04809619238476953,153
25,0.0501002004008016,166
26,0.052104208416833664,177
27,0.05410821643286573,187
28,0.05611222444889779,195
29,0.058116232464929855,209
30,0.06012024048096192,223
31,0.06212424849699398,244
32,0.06412825651302605,255
33,0.06613226452905811,267
34,0.06813627254509018,280
35,0.07014028056112225,287
36,0.0721442885771543,302
37,0.07414829659318636,320
38,0.07615230460921843,336
39,0.0781563126252505,351
40,0.08016032064128256,366
41,0.08216432865731463,377
42,0.08416833667334668,396
43,0.08617234468937875,404
44,0.08817635270541081,420
45,0.09018036072144288,440
46,0.09218436873747494,450
47,0.09418837675350701,460
48,0.09619238476953906,473
49,0.09819639278557113,490
50,0.1002004008016032,504
51,0.10220440881763526,520
52,0.10420841683366733,535
53,0.1062124248496994,552
54,0.10821643286573146,568
55,0.11022044088176351,585
56,0.11222444889779558,593
57,0.11422845691382764,605
58,0.11623246492985971,621
59,0.11823647294589178,632
60,0.12024048096192384,648
61,0.1222444889779559,665
62,0.12424849699398796,674
63,0.12625250501002003,684
64,0.1282565130260521,692
65,0.13026052104208416,704
66,0.13226452905811623,714
67,0.1342685370741483,727
68,0.13627254509018036,734
69,0.13827655310621242,750
70,0.1402805611222445,762
71,0.14228456913827653,773
72,0.1442885771543086,796
73,0.14629258517034066,813
74,0.14829659318637273,828
75,0.1503006012024048,842
76,0.15230460921843686,862
77,0.15430861723446893,888
78,0.156312625250501,913
79,0.15831663326653306,935
80,0.16032064128256512,950
81,0.1623246492985972,967
82,0.16432865731462926,984
83,0.16633266533066132,994
84,0.16833667334669336,1005
85,0.17034068136272543,1016
86,0.1723446893787575,1027
87,0.17434869739478956,1033
88,0.17635270541082163,1044
89,0.1783567134268537,1051
90,0.18036072144288576,1058
91,0.18236472945891782,1070
92,0.1843687374749499,1077
93,0.18637274549098196,1084
94,0.18837675350701402,1091
95,0.1903807615230461,1099
96,0.19238476953907813,1112
97,0.1943887775551102,1121
98,0.19639278557114226,1128
99,0.19839679358717432,1137
100,0.2004008016032064,1148
101,0.20240480961923846,1158
102,0.20440881763527052,1165
103,0.2064128256513026,1169
104,0.20841683366733466,1173
105,0.21042084168336672,1179
106,0.2124248496993988,1184
107,0.21442885771543085,1190
108,0.21643286573146292,1196
109,0.21843687374749496,1200
110,0.22044088176352702,1209
111,0.2224448897795591,1213
112,0.22444889779559116,1219
113,0.22645290581162322,1221
114,0.2284569138276553,1227
