School_ID,School,Carnegie Classification 2018,Religious Affiliation,12-Month FTE Enrollment,Academic Support Expenses Per FTE (FASB),Core Expenses (FASB),Endowment Asset Value,Institutional Support Expenses Per FTE (FASB),Instruction Expenses Per FTE (FASB),Student Services Expenses Per FTE (FASB)
141325,Wesleyan College,21,71,590.0,1888.0,17596067.0,59147763.0,9513.0,11312.0,5408.0
141361,Young Harris College,21,71,1059.0,2686.0,22646552.0,120608146.0,3417.0,8344.0,6938.0
142090,Boise Bible College,24,88,83.0,4314.0,3107004.0,725953.0,8389.0,13407.0,6755.0
142294,The College of Idaho,21,-2,1104.0,2901.0,32615948.0,117737164.0,5912.0,9851.0,10104.0
143288,Blackburn College,21,66,404.0,3385.0,14576034.0,32435612.0,12073.0,11135.0,9486.0
144351,Concordia University-Chicago,18,68,3670.0,1455.0,65894085.0,28476305.0,3428.0,6250.0,6822.0
144962,Elmhurst University,18,76,3636.0,1995.0,73174482.0,153997364.0,4853.0,7522.0,5544.0
144971,Eureka College,22,61,523.0,1220.0,13523974.0,34407159.0,10193.0,6669.0,7777.0
145372,Greenville University,20,64,1042.0,1576.0,27583143.0,28645053.0,10048.0,7088.0,7759.0
145619,Benedictine University,17,30,3028.0,1915.0,62990900.0,40152347.0,4260.0,8585.0,5720.0
145691,Illinois College,21,66,1043.0,5212.0,31786927.0,139414288.0,5094.0,9641.0,10530.0
146481,Lake Forest College,21,-2,1874.0,2471.0,56941560.0,112193194.0,7740.0,11804.0,7973.0
147013,McKendree University,18,71,1746.0,683.0,33831146.0,36552733.0,5789.0,5291.0,7170.0
147244,Millikin University,22,-2,1880.0,1513.0,48375081.0,90489114.0,4531.0,12324.0,7147.0
147341,Monmouth College,21,66,760.0,3122.0,30298938.0,124783301.0,8720.0,17765.0,10259.0
147828,Olivet Nazarene University,18,59,3149.0,1836.0,75573448.0,58739543.0,5013.0,9179.0,7387.0
148131,Quincy University,22,30,1151.0,1914.0,25168201.0,22671625.0,4940.0,6689.0,8323.0
148487,Roosevelt University,17,-2,3183.0,3461.0,96920000.0,137144000.0,7149.0,12172.0,6232.0
149505,Trinity Christian College,22,42,996.0,2598.0,28150710.0,11098773.0,5528.0,11686.0,8067.0
149514,Trinity International University-Illinois,17,38,750.0,2466.0,27482065.0,27599534.0,14431.0,10563.0,6553.0
149781,Wheaton College,21,88,2750.0,5788.0,120366994.0,558231860.0,7878.0,17639.0,9903.0
150066,Anderson University,19,57,1178.0,2898.0,37551000.0,33207000.0,8872.0,11188.0,8514.0
150145,Bethel University,20,87,1149.0,1179.0,24898349.0,10835293.0,4668.0,8904.0,6844.0
150172,Calumet College of Saint Joseph,20,30,520.0,1507.0,13275438.0,5301603.0,4762.0,7539.0,10702.0
150534,University of Evansville,20,71,1967.0,2393.0,59970507.0,148445157.0,5876.0,14408.0,7422.0
150604,Franklin College,21,52,1021.0,3815.0,27643745.0,94106819.0,4791.0,10370.0,8100.0
150668,Goshen College,22,69,727.0,3986.0,26334923.0,128138783.0,8044.0,14207.0,8770.0
150774,Holy Cross College,22,30,440.0,3135.0,12623033.0,15478523.0,8869.0,7972.0,8683.0
150941,Huntington University,20,84,1222.0,2221.0,33122249.0,29305647.0,6448.0,11808.0,6628.0
151777,Manchester University,22,58,1224.0,4013.0,38047453.0,76087832.0,6863.0,12981.0,6615.0
151786,Marian University,19,30,3943.0,3736.0,123942193.0,106934185.0,6093.0,12511.0,5658.0
151801,Indiana Wesleyan University-Marion,20,89,2500.0,3038.0,73904723.0,265768494.0,4391.0,12709.0,8449.0
152381,Saint Mary-of-the-Woods College,20,30,1021.0,0.0,27242083.0,10474598.0,8367.0,11023.0,7292.0
152530,Taylor University,22,42,2095.0,2822.0,59586379.0,115712191.0,5159.0,10952.0,6804.0
152600,Valparaiso University,17,67,3083.0,3470.0,91994000.0,315553000.0,4962.0,11232.0,9254.0
152992,Briar Cliff University,22,30,773.0,2766.0,21301952.0,21982649.0,5554.0,10275.0,8963.0
153108,Central College,21,49,1113.0,1605.0,34958912.0,95466372.0,6465.0,12673.0,7152.0
153144,Coe College,21,66,1311.0,2213.0,36530158.0,102626190.0,4620.0,10931.0,9489.0
153250,Dordt University,22,35,1685.0,1874.0,46360970.0,66392986.0,4989.0,11610.0,8537.0
153269,Drake University,17,-2,4128.0,6274.0,147851312.0,266901955.0,4218.0,13252.0,7753.0
153278,University of Dubuque,19,66,1538.0,4461.0,59208135.0,222719314.0,13127.0,13342.0,7566.0
153302,Emmaus Bible College,24,107,185.0,2618.0,5962246.0,1402095.0,7417.0,8184.0,8290.0
153366,Graceland University-Lamoni,18,99,1041.0,2194.0,30037663.0,52552964.0,5168.0,11079.0,9157.0
153375,Grand View University,22,39,1699.0,2007.0,33343690.0,34088456.0,5015.0,7321.0,5282.0
153825,Loras College,22,30,1261.0,3228.0,33831115.0,52453111.0,5647.0,8117.0,8712.0
153834,Luther College,21,39,1616.0,2465.0,55913941.0,192639936.0,7492.0,16256.0,8103.0
154004,Morningside University,18,71,1740.0,1928.0,33703900.0,57301893.0,4140.0,7816.0,5486.0
154013,Mount Mercy University,19,30,1380.0,2790.0,30266207.0,39156711.0,4200.0,7745.0,7197.0
154101,Northwestern College,22,49,1549.0,3292.0,32294287.0,69790821.0,3117.0,8280.0,5857.0
154527,Wartburg College,21,39,1434.0,1748.0,43686158.0,89676640.0,5921.0,10922.0,11331.0
154590,William Penn University,22,65,1413.0,903.0,22179806.0,8275725.0,3236.0,5393.0,6165.0
154721,Bethany College,22,39,602.0,1976.0,16043346.0,13068214.0,6475.0,7741.0,9464.0
155177,Hesston College,23,69,302.0,2218.0,11043545.0,15356729.0,9560.0,13098.0,9858.0
155414,Kansas Wesleyan University,22,71,785.0,1254.0,18711241.0,41344727.0,9514.0,5801.0,7267.0
155496,Manhattan Christian College,24,48,133.0,3274.0,4937864.0,4442004.0,15040.0,5934.0,10541.0
155511,McPherson College,22,58,806.0,1670.0,21901548.0,692122437.0,7322.0,9136.0,9045.0
155812,University of Saint Mary,19,30,1225.0,460.0,25441952.0,19433787.0,3724.0,9123.0,5986.0
155937,Sterling College,22,-2,554.0,2267.0,11609070.0,12214542.0,5037.0,6798.0,6853.0
155973,Tabor College,22,43,636.0,3494.0,14509699.0,19066597.0,2612.0,7982.0,6566.0
156213,Asbury University,20,-2,1348.0,1506.0,33165162.0,72424602.0,5168.0,11704.0,5988.0
156286,Bellarmine University,17,30,3068.0,1761.0,77245694.0,59434525.0,3717.0,11101.0,7263.0
156356,Brescia University,22,30,581.0,609.0,13592885.0,15199816.0,3869.0,10039.0,8100.0
157076,Kentucky Wesleyan College,22,71,693.0,1900.0,18022075.0,35846906.0,6979.0,6725.0,9915.0
157100,Kentucky Christian University,22,48,529.0,1355.0,9321857.0,7306068.0,3291.0,6184.0,5939.0
157535,University of Pikeville,21,66,2186.0,3230.0,57338073.0,30539068.0,6308.0,10697.0,5922.0
