INSTNM,2017,2018,2019,2020,2021
Grand Canyon University,35,30,35,39,37
Boise State University,19,21,26,29,31
University of Idaho,30,34,35,37,38
Carroll College,49,50,49,49,53
Montana Technological University,18,18,24,30,36
Montana State University,24,25,27,30,31
The University of Montana,29,27,30,30,33
Rocky Mountain College,40,32,31,35,41
Gonzaga University,78,73,75,77,75
Washington State University,38,35,37,37,37
University of Washington-Seattle Campus,65,67,66,67,71
