INSTNM,2017,2018,2019,2020,2021
Grand Canyon University,41,37,41,47,45
Boise State University,43,46,50,54,53
University of Idaho,55,59,56,59,59
Carroll College,72,69,63,67,67
Montana Technological University,42,51,52,56,57
Montana State University,54,57,56,59,54
The University of Montana,50,50,49,48,49
Rocky Mountain College,52,49,49,52,52
Gonzaga University,87,86,85,88,85
Washington State University,62,59,60,59,60
University of Washington-Seattle Campus,84,84,84,82,84
