INSTNM,2021
Grand Canyon University,7599
Boise State University,3203
University of Idaho,1656
Carroll College,280
Montana Technological University,325
Montana State University,3866
The University of Montana,1542
Rocky Mountain College,220
Gonzaga University,1311
Washington State University,4007
University of Washington-Seattle Campus,7252
