INSTNM,2017,2018,2019,2020,2021
Grand Canyon University,66,64,65,74,71
Boise State University,80,79,79,78,76
University of Idaho,82,81,77,77,75
Carroll College,84,81,80,84,80
Montana Technological University,74,73,79,80,76
Montana State University,76,77,77,78,76
The University of Montana,69,68,71,74,75
Rocky Mountain College,67,67,70,64,60
Gonzaga University,94,94,94,92,92
Washington State University,81,79,79,81,81
University of Washington-Seattle Campus,94,94,95,93,93
