INSTNM,Change
Grand Canyon University,0.0
Boise State University,0.1760815159099034
University of Idaho,0.07941312265941614
Carroll College,0.0908725048293626
Montana Technological University,0.040645024625324266
Montana State University,0.15521919888471203
The University of Montana,0.2221504097618987
Rocky Mountain College,0.11019483024691357
Gonzaga University,0.16576636842545356
Washington State University,0.08885426653883033
University of Washington-Seattle Campus,0.14276014259039216
