INSTNM,Ratio
Grand Canyon University,0.7136551465063862
Boise State University,1.9650306748466257
University of Idaho,3.1603053435114505
Carroll College,7.17948717948718
Montana Technological University,4.7101449275362315
Montana State University,5.391910739191074
The University of Montana,2.386996904024768
Rocky Mountain College,6.111111111111111
Gonzaga University,8.042944785276074
Washington State University,1.6772708246128087
University of Washington-Seattle Campus,4.675693101225016
