INSTNM,2018-19,2019-20,2020-21,2021-22,2022-23
Grand Canyon University,73,77,81,83,78
Boise State University,81,77,77,83,84
University of Idaho,77,78,74,81,74
Carroll College,78,69,73,84,78
Montana Technological University,92,91,97,90,89
Montana State University,82,82,81,73,73
The University of Montana,88,94,96,82,95
Rocky Mountain College,58,59,71,81,75
Gonzaga University,66,62,73,76,70
Washington State University,77,76,80,86,83
University of Washington-Seattle Campus,49,52,56,53,48
