INSTNM,2017-18,2018-19,2019-20,2020-21,2021-22
Grand Canyon University,43,39,33,34,30
Boise State University,27,25,24,21,20
University of Idaho,38,35,35,32,29
Carroll College,21,24,20,16,19
Montana Technological University,28,28,25,26,23
Montana State University,22,20,20,17,18
The University of Montana,38,38,33,32,31
Rocky Mountain College,38,33,37,37,34
Gonzaga University,12,15,12,16,15
Washington State University,30,28,26,26,25
University of Washington-Seattle Campus,22,20,20,18,18
