INSTNM,2017-18,2018-19,2019-20,2020-21,2021-22
Grand Canyon University,46,45,45,43,43
Boise State University,26,23,21,21,19
University of Idaho,30,29,27,28,25
Carroll College,22,20,21,20,19
Montana Technological University,30,29,29,26,22
Montana State University,23,23,22,20,18
The University of Montana,36,36,34,31,31
Rocky Mountain College,36,34,35,33,30
Gonzaga University,13,13,12,13,14
Washington State University,32,31,29,27,27
University of Washington-Seattle Campus,22,21,20,20,17
