INSTNM,2018-19,2019-20,2020-21,2021-22,2022-23
Grand Canyon University,17,23,20,25,37
Boise State University,32,26,24,24,22
University of Idaho,23,24,19,21,20
Carroll College,12,17,26,22,25
Montana Technological University,42,32,31,23,20
Montana State University,22,21,21,20,18
The University of Montana,32,32,25,26,19
Rocky Mountain College,28,27,24,20,24
Gonzaga University,22,22,17,19,18
Washington State University,29,30,25,26,25
University of Washington-Seattle Campus,32,30,29,28,30
