,Record Type,College Student ID,CIP Code,Comprehensive Transition and Postsecondary (CTP) Program Indicator,Approved Prison Education Program Indicator,Total Amount Student Received in Private Education Loans During Students Entire Enrollmentin the Program,Total Amount of Institutional Debt During Students Entire Enrollment in the Program,Total Amount of Tution & Fees Assessed During Students Entire Enrollment in the Program,"Total Amount of Allowance for books, supplies",Total Amount of Grants and Scholarships the student received During Students Entire Enrollment in the Program,Annual Cost of Attendance (COA),Tuition and Fees Amount for Award Year being Reported,Residency Tuition Status by State or District,"Allowance for Books, Supplies, and Equipment",Allowance for Housing and Food,Institutional Grants and Scholarships,"Other State, Tribal, or Private Grants",Private Loans Amount,Invalid Flag,GE Program Flag
445,AA,6187061,510000,,,,,,,,59302,78385,OS,800,12060,29250,0,0,N,N
446,AA,6187063,513801,,,,,,,,59302,77655,OS,800,12060,34308,1600,0,N,N
447,AA,6187065,513801,,,,,,,,59302,98004,OS,800,12060,35627,8000,0,N,N
448,AA,6187070,513801,,,,,,,,59302,122287,OS,800,12060,25811,0,0,N,N
449,AA,6187073,512313,,,,,,,,59302,155363,OS,800,12060,33700,0,0,N,N
450,AA,6187157,513801,,,,,,,,59302,89410,OS,800,12060,23000,0,0,N,N
451,AA,6187159,513801,,,,,,,,59302,80028,OS,800,12060,26848,0,0,N,N
452,AA,6187198,260101,,,,,,,,59302,27211,OS,800,12060,12000,0,0,N,N
453,AA,6187217,260101,,,,,,,,59302,113304,OS,800,12060,28000,6000,17374,N,N
454,AA,6187221,513801,,,,,,,,59302,74526,OS,800,12060,24620,2500,0,N,N
455,AA,6187235,420101,,,,,,,,59302,74216,OS,800,12060,19000,0,32000,N,N
456,AA,6187236,260101,,,,,,,,59302,160050,OS,800,12060,26018,0,24400,N,N
457,AA,6187239,260101,,,,,,,,59302,121126,OS,800,12060,24000,6000,0,N,N
458,AA,6187244,520201,,,,,,,,59302,135578,OS,800,12060,31675,0,0,N,N
459,AA,6187246,513801,,,,,,,,59302,121919,OS,800,12060,31657,1000,0,N,N
460,AA,6187250,520201,,,,,,,,59302,171237,OS,800,12060,31676,0,0,N,N
461,AA,6187277,513801,,,,,,,,59302,97616,OS,800,12060,29306,6000,14855,N,N
462,AA,6187293,520201,,,,,,,,59302,88200,OS,800,12060,24848,0,22884,N,N
463,AA,6187305,513801,,,,,,,,59302,285414,OS,800,12060,29387,0,0,N,N
464,AA,6187330,513801,,,,,,,,59302,194532,OS,800,12060,28000,0,0,N,N
465,AA,6187339,510000,,,,,,,,59302,154288,OS,800,12060,26000,5800,0,N,N
466,AA,6187366,513801,,,,,,,,59302,206422,OS,800,12060,28233,0,6163,N,N
467,AA,6187382,520201,,,,,,,,59302,200245,OS,800,12060,27000,0,0,N,N
468,AA,6187416,513801,,,,,,,,59302,152612,OS,800,12060,26848,1000,0,N,N
469,AA,6187458,520201,,,,,,,,59302,95826,OS,800,12060,34000,0,0,N,N
470,AA,6187467,513801,,,,,,,,59302,128209,OS,800,12060,0,0,0,N,N
471,AA,6187468,513801,,,,,,,,59302,128259,OS,800,12060,0,0,54308,N,N
472,AA,6187470,513801,,,,,,,,59302,128209,OS,800,12060,0,0,57000,N,N
473,AA,6187505,513801,,,,,,,,59302,174747,OS,800,12060,27092,1500,0,N,N
474,AA,6187566,260101,,,,,,,,59302,202018,OS,800,12060,26848,0,0,N,N
475,AA,6187566,512313,,,,,,,,59302,202018,OS,800,12060,26848,0,0,N,N
476,AA,6187577,260101,,,,,,,,59302,83243,OS,800,12060,21345,1000,0,N,N
477,AA,6187596,513801,,,,,,,,59302,97574,OS,800,12060,24848,0,0,N,N
478,AA,6187607,420101,,,,,,,,59302,193438,OS,800,12060,16000,0,0,N,N
479,AA,6187621,513801,,,,,,,,59302,136997,OS,800,12060,26848,0,0,N,N
480,AA,6187672,510000,,,,,,,,59302,112394,OS,800,12060,24062,6500,0,N,N
481,AA,6187765,520201,,,,,,,,59302,130451,OS,800,12060,31676,0,8246,N,N
482,AA,6187795,510000,,,,,,,,59302,56362,OS,800,12060,32000,0,0,N,N
483,AA,6187804,520201,,,,,,,,59302,157527,OS,800,12060,26479,0,0,N,N
484,AA,6187851,420101,,,,,,,,59302,176394,OS,800,12060,30000,500,0,N,N
485,AA,6187903,512313,,,,,,,,59302,72810,OS,800,12060,32719,0,0,N,N
486,AA,6187945,513801,,,,,,,,59302,92387,OS,800,12060,33558,7900,0,N,N
487,AA,6188048,520201,,,,,,,,59302,89495,OS,800,12060,27383,1000,0,N,N
488,AA,6188062,420101,,,,,,,,59302,139785,OS,800,12060,27236,0,0,N,N
489,AA,6188073,513801,,,,,,,,59302,78218,OS,800,12060,29000,1500,0,N,N
490,AA,6188157,510000,,,,,,,,59302,142727,OS,800,12060,30971,0,0,N,N
491,AA,6188230,520201,,,,,,,,59302,111657,OS,800,12060,26811,0,9770,N,N
492,AA,6188232,520201,,,,,,,,59302,86314,OS,800,12060,32000,0,13059,N,N
493,AA,6188264,513801,,,,,,,,59302,182347,OS,800,12060,0,0,50714,N,N
494,AA,6188340,513801,,,,,,,,59302,119524,OS,800,12060,31776,0,0,N,N
495,AA,6188447,520201,,,,,,,,59302,64364,OS,800,12060,30485,0,0,N,N
496,AA,6188495,520201,,,,,,,,59302,184774,OS,800,12060,23000,1000,0,N,N
497,AA,6188515,520301,,,,,,,,59302,172890,OS,800,12060,7413,0,0,N,N
498,AA,6188517,513801,,,,,,,,59302,174276,OS,800,12060,27500,0,0,N,N
499,AA,6188541,513801,,,,,,,,59302,134546,OS,800,12060,0,0,0,N,N
500,AA,6188557,513801,,,,,,,,59302,101979,OS,800,12060,26000,1500,0,N,N
501,AA,6188659,520201,,,,,,,,59302,76661,OS,800,12060,23841,0,0,N,N
502,AA,6188675,520301,,,,,,,,59302,149157,OS,800,12060,31676,0,0,N,N
503,AA,6188707,512313,,,,,,,,59302,108689,OS,800,12060,23000,0,0,N,N
504,AA,6188723,440701,,,,,,,,59302,44336,OS,800,12060,0,0,0,N,N
505,AA,6188731,513801,,,,,,,,59302,146305,OS,800,12060,0,0,65218,N,N
506,AA,6188732,513801,,,,,,,,59302,146255,OS,800,12060,0,0,0,N,N
507,AA,6188758,420101,,,,,,,,59302,95741,OS,800,12060,23508,16500,0,N,N
508,AA,6188758,520201,,,,,,,,59302,95741,OS,800,12060,23508,16500,0,N,N
509,AA,6188763,513801,,,,,,,,59302,214737,OS,800,12060,30216,0,0,N,N
510,AA,6188940,513801,,,,,,,,59302,128309,OS,800,12060,0,0,0,N,N
511,AA,6189084,513801,,,,,,,,59302,146355,OS,800,12060,0,0,40255,N,N
512,AA,6189152,520201,,,,,,,,59302,99552,OS,800,12060,8500,0,0,N,N
513,AA,6189170,440701,,,,,,,,59302,29452,OS,800,12060,0,0,0,N,N
514,AA,6189200,440701,,,,,,,,59302,35510,OS,800,12060,0,0,0,N,N
515,AA,6189269,420101,,,,,,,,59302,105186,OS,800,12060,10808,41482,0,N,N
516,AA,6189330,520201,,,,,,,,59302,178174,OS,800,12060,27000,0,0,N,N
517,AA,6189515,440701,,,,,,,,59302,29452,OS,800,12060,0,0,0,N,N
518,AA,6189571,440701,,,,,,,,59302,18212,OS,800,12060,0,0,0,N,N
519,AA,6189572,440701,,,,,,,,59302,29452,OS,800,12060,0,0,0,N,N
520,AA,6190155,440701,,,,,,,,59302,6008,OS,800,12060,0,0,0,N,N
521,AA,6190161,420101,,,,,,,,59302,166916,OS,800,12060,10054,0,0,N,N
522,AA,6191645,513801,,,,,,,,59302,112690,OS,800,12060,0,0,0,N,N
523,AA,6192005,513801,,,,,,,,59302,169147,OS,800,12060,0,0,7500,N,N
524,AA,6192120,513801,,,,,,,,59302,112690,OS,800,12060,0,0,7500,N,N
