#,School,Year,"Graduation Rate (6 Years, Non-Athlete)"
1,Carroll College,2015,62
2,Carroll College,2016,62
3,Carroll College,2017,51
4,Carroll College,2018,48
5,Carroll College,2019,58
6,Carroll College,2020,58
7,Carroll College,2021,47
8,Carroll College,2022,57
9,Carroll College,2023,57
