,School,Year,"Graduation Rate (6 Years, Athlete, Women)"
0,Carroll College,2015,94
1,Carroll College,2016,84
2,Carroll College,2017,82
3,Carroll College,2018,72
4,Carroll College,2019,80
5,Carroll College,2020,75
6,Carroll College,2021,86
7,Carroll College,2022,83
8,Carroll College,2023,69
