,School,Year,"Graduation Rate (6 Years, Pell)"
0,Carroll College,2017,64
1,Carroll College,2018,52
2,Carroll College,2019,66
3,Carroll College,2020,63
4,Carroll College,2021,56
5,Carroll College,2022,64
6,Carroll College,2023,72
