,School,Year,"Graduation Rate (4 Years, Athlete, Men)"
0,Carroll College,2015,21
1,Carroll College,2016,21
2,Carroll College,2017,26
3,Carroll College,2018,29
4,Carroll College,2019,23
5,Carroll College,2020,29
6,Carroll College,2021,35
7,Carroll College,2022,37
8,Carroll College,2023,42
