#,School,Year,"Graduation Rate (6 Years, Pell)"
1,Carroll College,2015,89
2,Carroll College,2016,84
3,Carroll College,2017,66
4,Carroll College,2018,58
5,Carroll College,2019,70
6,Carroll College,2020,71
7,Carroll College,2021,64
8,Carroll College,2022,68
9,Carroll College,2023,75
