#,School,Year,"Graduation Rate (6 Years, Transfers, Women)"
1,Carroll College,2017,55
2,Carroll College,2018,71
3,Carroll College,2019,67
4,Carroll College,2020,78
5,Carroll College,2021,52
6,Carroll College,2022,82
7,Carroll College,2023,69
