,School,Year,"Graduation Rate (4 Years, Pell, Men)"
0,Carroll College,2017,45
1,Carroll College,2018,33
2,Carroll College,2019,30
3,Carroll College,2020,37
4,Carroll College,2021,45
5,Carroll College,2022,50
6,Carroll College,2023,69
