#,School,Year,"Graduation Rate (6 Years, Athlete)"
1,Carroll College,2015,87
2,Carroll College,2016,76
3,Carroll College,2017,64
4,Carroll College,2018,67
5,Carroll College,2019,73
6,Carroll College,2020,66
7,Carroll College,2021,72
8,Carroll College,2022,73
9,Carroll College,2023,67
