#,School,Year,"Graduation Rate (4 Years, Athlete, Women)"
1,Carroll College,2015,52
2,Carroll College,2016,66
3,Carroll College,2017,47
4,Carroll College,2018,52
5,Carroll College,2019,69
6,Carroll College,2020,60
7,Carroll College,2021,72
8,Carroll College,2022,67
9,Carroll College,2023,47
