,School,Year,"Graduation Rate (4 Years, Pell, Women)"
0,Carroll College,2017,59
1,Carroll College,2018,35
2,Carroll College,2019,57
3,Carroll College,2020,61
4,Carroll College,2021,46
5,Carroll College,2022,47
6,Carroll College,2023,53
