,School,Year,"Graduation Rate (6 Years, Athlete)"
0,Carroll College,2015,87
1,Carroll College,2016,76
2,Carroll College,2017,64
3,Carroll College,2018,67
4,Carroll College,2019,73
5,Carroll College,2020,66
6,Carroll College,2021,72
7,Carroll College,2022,73
8,Carroll College,2023,67
