#,School,Year,"Graduation Rate (6 Years, Pell, Men)"
1,Carroll College,2015,76
2,Carroll College,2016,85
3,Carroll College,2017,67
4,Carroll College,2018,60
5,Carroll College,2019,65
6,Carroll College,2020,61
7,Carroll College,2021,66
8,Carroll College,2022,70
9,Carroll College,2023,86
