#,School,Year,"Graduation Rate (6 Years, Transfers)"
1,Carroll College,2017,56
2,Carroll College,2018,64
3,Carroll College,2019,65
4,Carroll College,2020,70
5,Carroll College,2021,47
6,Carroll College,2022,76
7,Carroll College,2023,63
